Brand,Model,Year,Kilometers_Driven,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Volkswagen,T-Roc,2019,22000,Automatic,Second,18,1498,148.0,5,1600000
Audi,Q7,2017,30000,Automatic,First,14,2967,245.0,7,3000000
BMW,X5,2018,28000,Automatic,Second,14,2998,335.0,5,3200000
Mercedes,GLA,2019,24000,Automatic,First,17,2143,170.0,5,2400000
Toyota,Camry,2016,38000,Automatic,Second,19,2487,176.0,5,1800000
Ford,Mustang,2019,22000,Automatic,First,13,2261,396.0,4,2700000
Hyundai,Venue,2018,32000,Manual,Third,17,1197,81.0,5,550000
Tata,Tiago,2020,18000,Manual,First,23,1199,84.0,5,500000
Mahindra,XUV300,2019,26000,Manual,Second,20,1497,115.0,5,700000
Volkswagen,Vento,2017,32000,Manual,Second,18,1598,103.0,5,650000
Audi,A5,2018,28000,Automatic,First,17,1968,187.0,5,2600000
BMW,3 Series,2020,15000,Automatic,Second,15,1998,258.0,5,2800000
Mercedes,C-Class,2019,22000,Automatic,First,16,1950,191.0,5,2900000
Toyota,Innova Crysta,2017,38000,Manual,Second,13,2755,171.0,7,1400000
Ford,EcoSport,2018,26000,Manual,Third,18,1497,121.0,5,750000
Hyundai,Verna,2019,24000,Automatic,Second,17,1497,113.0,5,850000
Tata,Altroz,2020,18000,Manual,First,20,1199,85.0,5,600000
Mahindra,Thar,2021,10000,Manual,First,15,2184,130.0,4,1200000
Volkswagen,Passat,2017,32000,Automatic,Second,17,1968,174.0,5,1600000
Audi,A6,2018,28000,Automatic,First,15,1984,241.0,5,3200000
BMW,X3,2019,22000,Automatic,Second,18,1995,187.0,5,2800000
Mercedes,E-Class,2017,30000,Automatic,First,16,1950,191.0,5,2700000
Toyota,Fortuner,2018,38000,Automatic,Second,12,2755,174.0,7,2500000
Ford,Aspire,2019,26000,Manual,Third,20,1194,94.0,5,600000
Hyundai,Elantra,2017,32000,Automatic,Second,22,1582,126.0,5,800000
Tata,Safari,2018,42000,Manual,First,14,1956,150.0,7,1300000
Maruti,Vitara,2019,24000,Manual,Second,17,1462,103.0,5,700000
Honda,WR-V,2018,28000,Manual,First,25,1498,98.0,5,750000
Volkswagen,Ameo,2020,15000,Automatic,Third,19,1197,74.0,5,500000
Audi,A3,2017,38000,Automatic,Second,16,1395,148.0,5,2000000
BMW,7 Series,2019,22000,Automatic,First,15,2993,261.0,5,3500000
Mercedes,GLE,2018,26000,Automatic,Second,12,2996,362.0,5,9000000
Toyota,Yaris,2020,18000,Manual,First,17,1496,106.0,5,650000
Ford,Ranger,2017,38000,Manual,Second,12,2198,158.0,5,1500000
Hyundai,Santro,2019,26000,Manual,Third,20,1086,68.0,5,450000
Tata,Tigor,2018,42000,Manual,First,24,1047,69.0,5,500000
Maruti,S-Cross,2020,15000,Automatic,Second,18,1462,103.0,5,700000
Honda,BR-V,2018,28000,Manual,First,21,1498,98.0,7,850000
Volkswagen,T-Roc,2019,22000,Automatic,Second,18,1498,148.0,5,1600000
Audi,Q7,2017,30000,Automatic,First,14,2967,245.0,7,3000000
BMW,X5,2018,28000,Automatic,Second,14,2998,335.0,5,3200000
Mercedes,GLA,2019,24000,Automatic,First,17,2143,170.0,5,2400000
Toyota,Camry,2016,38000,Automatic,Second,19,2487,176.0,5,1800000
Ford,Mustang,2019,22000,Automatic,First,13,2261,396.0,4,2700000
Hyundai,Venue,2018,32000,Manual,Third,17,1197,81.0,5,550000
Tata,Tiago,2020,18000,Manual,First,23,1199,84.0,5,500000
Mahindra,XUV300,2019,26000,Manual,Second,20,1497,115.0,5,700000
Volkswagen,Vento,2017,32000,Manual,Second,18,1598,103.0,5,650000
Audi,A5,2018,28000,Automatic,First,17,1968,187.0,5,2600000
BMW,3 Series,2020,15000,Automatic,Second,15,1998,258.0,5,2800000
